distance,perc,amenity
0.4667,6.53036181,supermarket
0.4673,6.531972217,supermarket
0.4674,6.532938462,supermarket
0.4681,6.544533393,supermarket
0.4684,6.547915247,supermarket
0.4685,6.566918051,supermarket
0.4686,6.569494703,supermarket
0.4687,6.583183163,supermarket
0.4692,6.589785832,supermarket
0.4693,6.594617053,supermarket
0.4693,6.611043206,supermarket
0.4699,6.629240806,supermarket
0.47,6.647116325,supermarket
0.4707,6.663059355,supermarket
0.471,6.664508721,supermarket
0.4712,6.665313925,supermarket
0.472,6.667568495,supermarket
0.4721,6.689792113,supermarket
0.4723,6.700259759,supermarket
0.4724,6.706057224,supermarket
0.4729,6.722322336,supermarket
0.473,6.736332878,supermarket
0.4731,6.751792786,supermarket
0.4732,6.762743554,supermarket
0.4733,6.773533281,supermarket
0.4743,6.778525543,supermarket
0.4744,6.796078981,supermarket
0.4747,6.81186097,supermarket
0.475,6.820235087,supermarket
0.4751,6.821845494,supermarket
0.4755,6.83231314,supermarket
0.4755,6.839559972,supermarket
0.4757,6.846001601,supermarket
0.476,6.855180921,supermarket
0.4762,6.881591598,supermarket
0.4764,6.883685127,supermarket
0.4768,6.906874989,supermarket
0.4769,6.919114083,supermarket
0.4771,6.926844037,supermarket
0.4778,6.985140774,supermarket
0.4783,6.987234303,supermarket
0.4786,6.994481135,supermarket
0.4786,7.000600682,supermarket
0.4788,7.009618962,supermarket
0.4792,7.012517694,supermarket
0.4802,7.017993078,supermarket
0.4803,7.043115429,supermarket
0.4803,7.054871401,supermarket
0.4816,7.059863663,supermarket
0.4817,7.065016966,supermarket
0.4819,7.070170268,supermarket
0.482,7.088367869,supermarket
0.4828,7.088850991,supermarket
0.4829,7.099640718,supermarket
0.4829,7.104471939,supermarket
0.4833,7.120737051,supermarket
0.4835,7.147308768,supermarket
0.4839,7.148275012,supermarket
0.484,7.165184287,supermarket
0.4842,7.170176549,supermarket
0.4843,7.188374149,supermarket
0.4848,7.201901569,supermarket
0.4855,7.219293965,supermarket
0.4855,7.227023919,supermarket
0.4855,7.253595636,supermarket
0.4856,7.264546405,supermarket
0.4857,7.271632196,supermarket
0.4864,7.281133598,supermarket
0.4866,7.282421923,supermarket
0.4867,7.327191241,supermarket
0.4869,7.344583637,supermarket
0.4869,7.346194044,supermarket
0.4872,7.351186306,supermarket
0.4878,7.362781237,supermarket
0.4889,7.379851553,supermarket
0.489,7.392573769,supermarket
0.4891,7.394667298,supermarket
0.4902,7.411576572,supermarket
0.4907,7.414153224,supermarket
0.4909,7.442013267,supermarket
0.4909,7.485011136,supermarket
0.4918,7.493546294,supermarket
0.492,7.502564573,supermarket
0.4921,7.514964708,supermarket
0.4921,7.517380319,supermarket
0.4924,7.524788191,supermarket
0.4932,7.629625693,supermarket
0.4933,7.637194606,supermarket
0.4937,7.638160851,supermarket
0.4945,7.650238904,supermarket
0.4945,7.650560985,supermarket
0.4948,7.666020893,supermarket
0.4948,7.672623563,supermarket
0.4951,7.704831704,supermarket
0.4954,7.716104554,supermarket
0.4959,7.728987811,supermarket
0.4966,7.736878806,supermarket
0.4966,7.751211429,supermarket
0.4971,7.766671337,supermarket
0.4975,7.770214232,supermarket
0.4975,7.775045454,supermarket
0.4996,7.781809164,supermarket
0.4997,7.788733914,supermarket
0.5002,7.798879479,supermarket
0.5004,7.79920156,supermarket
0.5006,7.81739916,supermarket
0.5012,7.820136852,supermarket
0.5018,7.827061603,supermarket
0.5022,7.832053865,supermarket
0.5022,7.838495493,supermarket
0.5024,7.857176216,supermarket
0.5029,7.873280287,supermarket
0.5037,7.876179019,supermarket
0.5046,7.885197299,supermarket
0.505,7.892605172,supermarket
0.505,7.898724719,supermarket
0.5051,7.918693767,supermarket
0.5054,7.927389965,supermarket
0.5055,7.93318743,supermarket
0.5055,7.937213448,supermarket
0.5057,7.942688832,supermarket
0.5062,7.970709916,supermarket
0.5066,7.982626928,supermarket
0.5067,7.985847742,supermarket
0.5077,8.006944075,supermarket
0.5079,8.020793576,supermarket
0.5081,8.045110724,supermarket
0.5082,8.077479906,supermarket
0.5086,8.084404657,supermarket
0.509,8.111781577,supermarket
0.5093,8.111942618,supermarket
0.5094,8.121766101,supermarket
0.5096,8.13513248,supermarket
0.5096,8.15558465,supermarket
0.51,8.179096594,supermarket
0.5102,8.188759036,supermarket
0.5102,8.196972113,supermarket
0.5108,8.204057904,supermarket
0.5109,8.208567044,supermarket
0.512,8.213237224,supermarket
0.5129,8.21903469,supermarket
