geoid10,hospital,library,school,supermarket
245100302002001,1833.1,950.2,516.4,739.9
245100302002002,1701.3,1031.0,597.3,816.8
245100302002003,1608.6,1118.6,684.9,902.9
245100302002004,1621.4,1411.0,977.3,789.1
245100302002007,1935.2,1505.8,1072.0,614.7
245100302002013,1921.5,1711.1,1277.4,281.3
245100302002017,1979.1,1457.7,1047.1,142.7
245100302002018,1902.0,1691.6,1257.8,261.8
245100302002023,1649.1,1438.7,1004.9,616.0
245100302002024,1663.3,1196.7,762.9,831.0
245100302002025,1676.3,1209.7,775.9,844.0
245100302002026,1793.4,1121.7,688.0,753.5
245100302002028,1783.2,1175.7,779.1,609.5
245100302002029,1676.8,1394.7,960.9,733.4
245100302002030,1764.1,1282.2,848.5,537.7
245100302002031,1849.0,1159.6,725.9,585.7
245100302002032,1873.4,1088.3,654.5,514.6
245100302002036,1824.6,1372.6,962.0,483.9
245100302002038,1854.8,1644.4,1210.6,165.5
245100302002040,1818.4,1608.0,1174.2,376.4
245100302002043,1724.5,1257.8,824.1,694.2
245100401001006,494.3,910.8,1798.8,446.7
245100401001012,726.0,222.9,1415.8,528.6
245100401001021,419.0,835.5,1866.1,371.4
245100401001022,460.2,876.8,1764.7,412.7
245100401001026,999.3,1414.7,1631.5,945.6
245100401001035,652.2,1067.5,1498.4,598.4
245100401001042,1031.0,1375.2,1384.3,977.2
245100401001056,678.6,1095.4,1594.9,626.2
245100401001059,627.0,673.7,1745.8,204.5
245100401001062,559.8,593.4,1786.3,255.7
245100401001063,683.3,309.6,1502.4,475.7
245100401001065,862.0,798.1,1625.1,328.9
245100401001066,739.6,1548.7,1593.2,1172.8
245100401001068,525.0,1334.1,1378.6,1036.1
245100401001070,569.2,1378.3,1436.2,1105.9
245100401001071,529.3,1338.4,1382.9,1040.5
245100401001072,319.1,1128.2,1172.7,1318.7
245100401001073,640.8,1449.9,1494.4,1151.9
245100401001077,902.3,1058.2,1731.3,589.1
245100401001109,606.1,1415.2,1459.6,1025.6
245100401002000,906.9,111.5,1304.3,417.1
245100401002001,825.6,540.9,1223.1,846.6
245100401002004,738.5,758.7,1010.7,610.0
245100401002005,749.2,927.5,1021.4,775.1
245100401002006,677.9,856.1,950.0,717.3
245100401002007,871.0,1056.1,810.0,917.2
245100401002009,818.3,927.1,1106.1,634.5
245100401002011,693.1,871.4,965.2,718.9
245100401002014,769.9,747.5,1239.9,551.5
245100401002015,946.2,802.4,1356.9,378.4
245100401002016,876.6,502.9,1699.9,352.6
245100401002017,731.3,357.5,1550.4,523.6
245100401002018,780.5,67.6,1470.3,373.3
245100401002019,854.4,965.8,1070.3,541.8
245100401002022,1013.2,990.9,1409.4,565.2
245100401002023,832.0,804.9,1489.3,264.2
245100401002024,798.4,734.5,1589.3,230.6
245100401002025,678.3,614.4,1571.1,110.5
245100401002026,772.4,708.6,1473.9,204.7
245100401002028,909.0,1147.7,1076.6,723.7
245100401002029,691.3,627.4,1595.7,123.5
245100401002032,836.9,1024.9,1308.2,602.9
245100401002036,693.5,629.7,1772.7,160.5
245100401002037,1097.5,953.7,1638.0,529.7
245100401002044,1036.0,1265.0,1728.9,795.9
245100401002045,845.0,1139.4,1539.3,713.7
245100401002049,860.9,797.0,1818.9,327.9
245100401002051,1004.2,1233.3,1697.2,764.2
245100401002055,788.0,503.3,1185.4,808.9
245100402001000,975.8,1216.4,695.2,802.4
245100402001005,907.9,1093.1,847.0,887.5
245100402001006,814.2,1048.6,981.9,749.8
245100402001008,841.1,1317.6,1246.5,893.6
245100402001013,725.4,1510.5,1170.0,1086.6
245100402001015,482.2,1291.3,1176.5,1328.6
245100402001016,539.7,1320.8,1234.0,896.8
245100402001020,706.1,1387.9,1034.8,1098.2
245100402001024,142.1,1043.6,960.0,1349.7
245100402001025,450.0,1259.2,1303.6,1201.3
245100402001031,504.7,1082.0,918.1,1531.5
245100601001000,1970.1,498.2,746.7,301.3
245100601001001,1935.7,463.8,712.3,401.6
245100601001002,1719.0,366.2,495.6,381.0
245100601001003,1596.7,429.9,497.8,502.9
245100601001004,1666.4,490.3,443.0,505.0
245100601001006,1901.5,214.0,675.2,506.2
245100601001007,2012.4,324.8,786.1,309.5
245100601002000,2067.8,380.2,697.6,346.3
245100601002001,1996.4,308.8,626.0,418.5
245100601002002,1937.1,249.5,568.1,476.2
245100601002003,1871.5,183.9,500.7,542.9
245100601002004,2004.8,317.2,490.8,719.6
245100601002005,2073.5,385.9,556.9,652.8
245100601002006,2131.6,444.0,615.0,594.4
245100601002007,2259.4,571.8,558.4,485.5
245100601003000,1815.7,128.1,446.2,597.6
245100601003001,1750.1,81.6,379.1,663.6
245100601003002,1694.8,134.7,326.5,716.7
245100601003003,1829.0,340.1,313.9,851.3
245100601003004,1881.6,265.0,366.5,799.6
245100601003005,1949.8,262.2,435.1,732.8
245100601004000,1541.2,374.4,444.4,558.9
245100601004001,1475.0,255.2,377.4,624.7
245100601004002,1419.6,310.8,323.0,588.7
245100601004003,1529.7,214.4,306.1,663.4
245100601004004,1580.7,155.6,357.0,604.3
245100601004005,1642.9,147.6,419.7,534.2
245100602001000,1354.2,376.3,255.1,523.0
245100602001001,1467.9,284.8,243.4,636.6
245100602001002,1416.0,348.5,190.9,641.0
245100602001003,1298.6,432.2,198.4,468.5
245100602001004,1231.7,450.8,130.9,401.6
245100602002000,1624.9,203.4,258.7,785.4
245100602002001,1570.6,258.5,204.9,840.5
245100602002002,1498.8,326.1,206.6,784.1
245100602002003,1635.0,458.8,71.1,801.0
245100602002004,1795.9,553.7,34.7,961.9
245100602002005,1757.9,335.6,243.2,917.6
245100602003000,1448.3,378.6,257.3,733.7
245100602003001,1381.1,448.2,326.0,666.4
245100602003002,1328.2,501.5,379.7,613.5
245100602003003,1460.0,636.4,366.4,803.2
245100602003004,1512.7,581.2,311.2,748.1
245100602003005,1584.5,511.9,242.7,750.5
245100602004000,1059.8,699.6,323.4,346.8
245100602004001,933.9,752.3,362.2,468.7
245100602004002,1062.9,621.4,379.9,597.3
245100602004003,1115.0,570.5,325.7,476.8
245100602004004,1257.4,571.8,451.0,615.3
245100602004005,1201.6,695.3,505.1,736.4
245100602004006,1338.6,757.9,487.9,873.5
245100602004007,1388.7,707.2,437.2,923.6
245100602005000,1176.4,506.0,132.1,346.4
245100602005001,1110.0,572.9,198.3,278.5
245100602005002,1054.5,628.6,254.0,277.1
245100602005003,1185.4,565.7,256.8,472.9
245100602005004,1239.6,578.0,203.4,408.5
245100602005005,1305.7,415.0,67.6,474.7
245100603001000,931.9,820.1,294.0,466.7
245100603001001,814.7,870.9,243.0,518.5
245100603001002,741.3,1123.7,299.5,648.6
245100603001003,742.0,1077.2,300.3,649.4
245100603001004,596.6,1213.5,390.4,739.4
245100603001005,544.1,1142.6,263.0,790.2
245100603001006,809.5,1012.8,133.2,1015.9
245100603001007,724.0,1094.2,235.7,867.3
245100603001008,784.4,968.4,295.7,825.0
245100603001009,837.8,848.9,425.8,744.4
245100603001010,942.6,804.7,371.0,720.3
245100603001011,974.1,810.2,402.4,583.0
245100603001012,950.0,801.4,378.3,727.7
245100603001013,838.7,912.9,240.2,879.3
245100603002000,1135.3,694.4,459.0,735.6
245100603002001,1088.8,742.6,412.4,786.1
245100603002002,943.7,743.9,267.3,787.4
245100603002003,913.1,911.8,239.1,955.2
245100603002004,868.2,916.4,92.5,959.9
245100603002005,869.9,968.3,41.2,923.9
245100603002006,913.4,1147.3,536.2,829.6
245100603002007,965.1,1063.5,288.7,881.2
245100603002008,1023.1,1019.4,346.7,939.3
245100603002009,1087.3,1083.5,410.8,1003.4
245100603002010,1094.7,830.3,419.6,872.4
245100603002011,1259.3,878.6,584.3,919.8
245100603002012,1266.2,829.9,560.8,871.1
245100603002013,1269.3,1081.2,591.7,939.3
245100603002014,1086.9,1083.1,410.4,1003.1
245100603002015,1027.7,1126.2,351.4,943.8
245100603002016,926.0,1159.9,548.8,842.2
245100603002017,1064.6,1163.0,388.2,980.7
245100604001000,844.9,802.8,1026.7,1383.1
245100604001002,455.7,965.5,578.7,938.8
245100604001003,506.5,911.7,470.2,884.9
245100604001007,1018.8,542.0,641.6,858.5
245100604001008,1162.1,609.3,656.4,853.5
245100604001009,1202.9,650.0,637.4,752.8
245100604001010,1201.1,756.7,742.2,646.8
245100604001011,1119.9,986.9,661.0,565.6
245100604001012,1234.7,884.8,775.8,680.4
245100604001013,1106.2,973.3,647.4,552.0
245100604001014,1222.9,670.1,717.2,914.2
245100604002000,359.4,1336.7,403.1,752.4
245100604002001,556.3,1533.6,415.0,949.3
245100604002004,276.3,1252.8,472.8,822.1
245100604002005,316.7,1180.6,432.4,781.7
245100604002006,467.7,1218.3,453.8,858.1
245100604002007,609.9,1109.9,272.7,856.0
245100604002008,398.8,1051.1,539.8,944.7
245100604002009,435.9,1261.5,496.5,901.3
245100604002010,637.3,1007.3,171.0,980.5
245100604002011,548.7,1024.4,259.8,997.6
245100604002015,725.5,959.4,178.3,932.7
245100604002016,852.3,1086.3,475.1,1059.5
245100604002017,855.2,1089.1,478.0,695.9
245100604002018,1084.3,1286.5,707.1,753.0
245100701001000,1749.1,806.7,993.9,917.9
245100701001001,1767.9,827.1,1015.0,938.4
245100701001002,1774.9,834.1,1022.0,945.4
245100701001004,1706.6,833.9,951.2,875.3
245100701001005,1654.2,889.8,899.3,823.0
245100701001006,1548.4,783.8,792.8,717.1
245100701001007,1603.1,775.7,848.3,771.8
245100701001008,1636.9,693.6,882.0,805.7
245100701001009,1552.4,609.0,797.5,721.1
245100701001010,1621.8,678.4,867.2,790.6
245100701001012,1805.6,853.9,1051.0,657.0
245100701001014,1830.0,878.4,1075.5,681.5
245100701001015,1706.4,763.1,951.5,739.5
245100701001016,1485.5,611.4,730.1,654.3
245100701001017,1484.5,668.3,729.1,653.2
